ltable_id,rtable_id,label
0,0,0.5
0,1,0.75
0,2,0.25
0,3,0.5
0,4,0.0
0,5,0.25
0,6,0.25
0,7,0.25
0,8,0.5
0,9,0.25
0,10,0.5
0,11,0.5
0,12,0.5
0,13,0.5
0,14,0.0
0,15,0.0
0,16,0.25
0,17,0.5
0,18,0.0
0,19,0.0
0,20,0.0
1,21,0.5
1,22,0.5
1,23,0.25
2,24,0.5
3,25,0.5
4,26,0.0
5,27,0.5
5,28,1.0
5,29,0.0
5,30,0.0
5,31,0.25
5,32,0.0
5,33,0.0
5,34,0.5
5,35,0.5
5,36,0.25
5,37,0.5
5,38,0.25
5,39,0.0
5,40,0.25
5,41,0.25
5,42,0.0
5,43,0.5
5,44,0.5
5,45,0.5
6,46,0.5
7,47,0.5
8,48,0.5
9,49,0.5
9,50,0.25
9,51,0.25
9,52,0.25
9,53,0.25
9,54,0.25
9,55,0.25
9,56,0.5
9,57,0.5
9,58,0.25
9,59,0.25
9,60,0.25
9,61,0.25
9,62,0.25
9,63,0.25
9,64,0.25
9,65,0.25
9,66,0.25
9,67,0.25
9,68,0.25
10,69,0.25
10,70,0.5
11,71,0.0
11,72,0.5
11,73,0.75
11,74,0.75
11,75,0.0
11,76,0.75
11,77,0.0
11,78,0.25
11,79,0.25
11,80,0.25
11,81,0.0
11,82,0.5
11,83,0.5
11,84,0.25
11,85,0.25
11,86,0.75
11,87,0.25
11,88,0.25
11,89,0.0
11,90,0.0
11,91,0.25
11,92,0.0
11,93,0.5
11,94,0.25
11,95,0.25
11,96,0.75
11,97,0.0
11,98,0.5
11,99,0.25
12,100,0.5
12,101,0.75
12,102,0.0
12,103,0.75
12,104,0.0
12,105,0.75
12,106,0.5
12,107,0.25
12,108,0.5
12,109,0.75
12,110,0.25
12,111,0.75
12,112,0.25
12,113,0.75
12,114,0.5
12,115,0.0
12,116,0.5
12,117,0.0
12,118,0.5
12,119,0.25
12,120,0.25
12,121,0.5
12,122,0.5
12,123,0.5
12,124,0.25
12,125,0.0
